id,objectid,Creator Name,dob - day,dob - month,dob - year,approx,death - day,death - month,death - year,approx,,EOL
objectcreator88,object67,"Hennessy, Patrick",,,1915,,,,1980,,object67,EOL
objectcreator89,object91,"Jones, Allen",,,1937,,,,,,object91,EOL
objectcreator90,object87,"Kosuth, Joseph",,,1945,,,,,,object87,EOL
objectcreator91,object704,"Le Parc, Julio",,,1928,,,,,,object704,EOL
objectcreator92,object60,"Morellet, François",,,1926,,,,,,object60,EOL
objectcreator93,object73,"Morris, Frank",,,1928,,,,1970,,object73,EOL
objectcreator95,object85,"O'Doherty, Brian",,,1928,,,,,,object85|object360|object355,EOL
objectcreator95b,object360,"O'Doherty, Brian",,,1928,,,,,,object85|object360|object355,EOL
objectcreator95c,object355,"O'Doherty, Brian",,,1928,,,,,,object85|object360|object355,EOL
objectcreator96,object59,"Riley, Bridget",,,1931,,,,,,object59,EOL
objectcreator97,object75,"Sheridan, Noel",,,1936,,,,2006,,object75,EOL
objectcreator98,object708,"Campbell, George",,,1917,,,,1979,,object708|,EOL
objectcreator99,object76,"Soto, Jesús Rafael",,,1923,,,,2005,,object76,EOL
objectcreator100,object90,"Swift, Patrick",,,1927,,,,1983,,object90,EOL
objectcreator101,object78,"Vasarely, Victor ",,,1906,,,,1997,,object78,EOL
objectcreator102,object48,"Oppenheim, Dennis",,,1938,,,,2011,,object48,EOL
